Change,Current Ratio,Debt / Equity Ratio,PE Ratio,PB Ratio,RSI,Bollinger Middle,Bollinger Upper,Bollinger Lower,OBV,EMA20,Inflation,GDP
0,1.29,0.14,25.21,7.36,56.52207865,235.0860001,375.1040902,95.06790989,3846104800,242.7001967,8.002799821,2.06180457
1,3.6,0.22,38.1,3.11,67.2969422,32.71999998,47.96209549,17.47790448,3561900400,35.85037466,1.464832656,1.841876169
1,2.92,0.22,51.41,3.36,71.75678072,34.64949999,53.05693735,16.24206262,3814437500,38.13891051,1.464832656,1.841876169
1,2.65,0.23,97.88,4.22,74.51871605,36.86699991,58.71477937,15.01922046,4053733700,40.76758549,1.622222977,2.287772842
1,1.87,0.23,125.34,5.16,77.22795224,39.06999998,65.43635258,12.70364738,4281461800,43.77638693,1.622222977,2.287772842
1,1.86,0.23,113.15,4.84,73.21371066,40.87750006,70.139883,11.61511712,4112713500,46.19673127,1.622222977,2.287772842
1,1.91,0.22,145.62,5.31,74.7770626,42.67349997,74.9622124,10.38478753,4323872900,48.72085181,1.622222977,2.287772842
1,1.85,0.22,136.91,5.42,75.32496578,44.60200014,79.42347497,9.780525313,4467639800,51.12267568,0.118627136,2.706370303
1,2.22,0.29,128.71,5.98,78.22879513,47.33100023,84.50369921,10.15830125,4622766000,53.96908772,0.118627136,2.706370303
1,2.16,0.29,108.34,5.99,78.69099189,50.13450031,88.91713327,11.35186735,4841600300,56.65965091,0.118627136,2.706370303
1,2.2,0.28,79.83,5.78,82.55430569,53.2925004,95.40028867,11.18471213,5028677500,60.21016058,0.118627136,2.706370303
1,2.18,0.27,73.03,6.57,82.36221428,56.32450056,100.8598996,11.78910147,4777245400,63.4091932,1.261583206,1.667476026
1,2.21,0.27,53.75,6.07,82.96884373,59.54150057,105.6908495,13.39215159,4941769700,66.49307965,1.261583206,1.667476026
1,2.2,0.26,55.13,6.81,86.23537043,63.76000061,111.5984939,15.92150734,5083705100,70.49754834,1.261583206,1.667476026
1,2.16,0.26,52.03,7.09,79.07451009,67.49400043,115.3271852,19.66081572,4929518700,73.58825773,1.261583206,1.667476026
1,2.08,0.25,42.43,6.68,85.41587042,72.28500061,124.8265754,19.74342582,5078546000,78.97318603,2.130110004,2.241916613
1,1.95,0.25,45.17,7.82,87.15961354,77.73850079,135.0053831,20.47161848,5241873900,84.92240664,2.130110004,2.241916613
1,1.99,0.24,49.18,9.1,88.19945393,83.57550049,144.8421312,22.30886977,5366902700,91.04217674,2.130110004,2.241916613
1,2.05,0.23,48.06,9.36,90.87799252,90.45350075,159.9054222,21.00157927,5549392600,99.06101757,2.130110004,2.241916613
1,2.06,0.22,52.24,10.46,93.40457862,99.08150082,184.1794016,13.98360001,5736790500,110.2056827,2.442583297,2.945385182
1,2.12,0.22,54.9,11.94,94.51538554,108.9940006,211.2924829,6.695518304,5921268800,122.9299032,2.442583297,2.945385182
1,2.08,0.22,57.1,14.22,95.31620499,119.8945013,240.3935948,-0.604592174,6090392200,136.9318183,2.442583297,2.945385182
1,1.66,0.21,53.45,14.56,75.47198575,128.2125015,253.8500764,2.574926641,5805773100,145.43736,2.442583297,2.945385182
1,1.13,0.44,47.27,13.08,79.66944139,138.2500011,273.990064,2.509938295,5996751500,156.9661819,1.812210075,2.294439305
1,0.97,0.42,48.01,13.04,81.99140414,149.3645008,297.5371345,1.191867155,6160878300,170.0789259,1.812210075,2.294439305
1,0.7,0.42,49.85,13.31,75.89220566,159.7175007,312.8866454,6.548356009,6001843100,180.1904568,1.812210075,2.294439305
1,0.74,0.4,49.71,13.48,80.45088544,172.5730007,337.1075371,8.03846433,6158390500,194.4399368,1.812210075,2.294439305
1,0.79,0.39,50.78,14.23,77.06093274,184.7880001,354.4136748,15.1623254,5930664300,206.2304181,1.233584396,-2.767953145
1,1.24,0.45,51.48,15.9,84.27921356,202.5029999,397.2229637,7.783036026,6129851900,228.0475209,1.233584396,-2.767953145
1,1.29,0.43,50.36,17.12,86.44237892,222.9134995,446.3778166,-0.550817688,6323780500,253.0363278,1.233584396,-2.767953145
1,1.44,0.4,64.16,21.15,86.7865938,243.2224991,488.8407696,-2.395771473,6480384300,276.5681056,1.233584396,-2.767953145
1,1.48,0.35,43.51,17.25,81.12136572,262.3009987,517.6154201,6.986577313,6303009200,295.5016189,4.697858864,5.946623245
1,1.27,0.35,37.91,15.58,85.6240243,286.7934994,566.3473668,7.23963198,6436454600,323.1338471,4.697858864,5.946623245
1,1.32,0.34,43.2,17.41,83.69021364,310.1524979,603.9358071,16.36918868,6321138200,347.1896684,4.697858864,5.946623245
1,1.39,0.33,54.39,22.03,81.95018702,333.3579979,631.2982087,35.41778706,6149254600,368.1296997,4.697858864,5.946623245
0,1.25,0.32,60.84,19.83,63.61943519,349.6324974,636.7530429,62.51195188,5896138900,376.4621088,8.002799821,2.06180457
0,1.04,0.34,44.18,15.48,53.30081112,360.8634972,631.6379712,90.08902311,5696841400,375.4714315,8.002799821,2.06180457
0,1.07,0.33,41.53,14.52,45.27743628,367.1644981,623.417636,110.9113603,5474232100,365.9217726,8.002799821,2.06180457
0,1.14,0.32,35.8,11.99,50.67474762,375.2289978,616.5300927,133.9279029,5692550600,363.122556,8.002799821,2.06180457
0,1.11,0.33,33.39,11.3,50.67474762,375.2289978,616.5300927,133.9279029,5692550600,363.122556,8.002799821,2.06180457
0,1.12,0.29,33.25,11.09,50.67474762,375.2289978,616.5300927,133.9279029,5692550600,363.122556,8.002799821,2.06180457
1,0.83,4.17,15.93,19.72,49.01677824,25.84950004,39.312934,12.38606607,7500885700,32.97574369,1.464832656,1.841876169
1,0.91,3.74,13.37,17.3,54.28996751,27.01599998,40.58034037,13.4516596,7986011600,33.49138709,1.464832656,1.841876169
1,0.93,3.52,16.93,18.64,52.89007621,28.08649998,41.38745214,14.78554781,7447353900,33.86649311,1.622222977,2.287772842
1,0.92,3.4,17.25,18.13,58.32662901,29.36399994,42.8328367,15.89516318,7918261200,34.6353984,1.622222977,2.287772842
1,0.89,3.18,19.28,18.96,62.46402598,30.7704999,44.97438515,16.56661465,8316531800,35.71202699,1.622222977,2.287772842
1,0.77,3.26,21.08,21.22,65.53201383,32.25249996,47.63395673,16.87104319,8750156100,37.00326256,1.622222977,2.287772842
1,0.9,4.87,19.21,32.31,66.20204929,33.72749996,49.95997415,17.49502578,9193606300,38.24295188,0.118627136,2.706370303
1,0.81,5.49,20.05,38.89,64.21252937,35.17099991,51.41263112,18.9293687,8779714200,39.25886121,0.118627136,2.706370303
1,0.74,5.01,18.86,34.61,69.15060222,36.68999996,54.11535742,19.2646425,9238068900,40.70087458,0.118627136,2.706370303
1,0.84,4.48,20.39,36.95,72.03453683,38.36949987,57.23336214,19.50563761,9613673200,42.36841024,0.118627136,2.706370303
1,0.7,4.46,21.78,39.63,74.97692197,40.20099983,60.93697728,19.46502238,10026523900,44.30094259,1.261583206,1.667476026
1,0.87,4.68,22.55,44.69,78.43607936,42.32849979,65.55033021,19.10666938,10418506800,46.64942416,1.261583206,1.667476026
